week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-10-22,Films (Non-English),7,Heaven in Hell,,2.0,2600000.0,tt21249656
2023-10-22,Films (Non-English),8,Dream Girl 2,,2.1167,2200000.0,tt22086334
2023-10-22,Films (Non-English),9,A Deadly Invitation,,1.55,1500000.0,tt13022120
2023-10-22,Films (Non-English),10,OMG 2,,2.5833,1400000.0,tt15732324
2023-10-22,TV (English),1,The Fall of the House of Usher,1.0,8.2833,7900000.0,tt15567174
2023-10-22,TV (English),2,Beckham,1.0,4.75,6900000.0,tt14524712
2023-10-22,TV (English),3,Bodies,1.0,7.6333,5500000.0,tt18347622
2023-10-22,TV (English),4,I Woke Up A Vampire,1.0,3.5167,3400000.0,tt27591984
2023-10-22,TV (English),5,Sex Education,4.0,8.1,2600000.0,tt7767422
2023-10-22,TV (English),6,Love Is Blind,5.0,11.0667,1800000.0,tt2620890
2023-10-22,TV (English),7,Big Mouth,7.0,4.65,1600000.0,tt2340201
2023-10-22,TV (English),8,ONE PIECE,1.0,7.5667,1400000.0,tt11737520
2023-10-22,TV (English),9,CoComelon,8.0,1.0667,1300000.0,tt12427840
2023-10-22,TV (English),10,CoComelon,1.0,2.9667,1200000.0,tt12427840
2023-10-22,TV (Non-English),1,Lupin,3.0,5.5167,7700000.0,tt1018841
2023-10-22,TV (Non-English),2,Pact of Silence,1.0,12.0333,5700000.0,tt29195231
2023-10-22,TV (Non-English),3,Strong Girl Nam-soon,1.0,0.0,3600000.0,tt29225198
2023-10-22,TV (Non-English),4,Lupin,1.0,3.9833,3200000.0,tt1018841
2023-10-22,TV (Non-English),5,Lupin,2.0,3.7833,3000000.0,tt1018841
2023-10-22,TV (Non-English),6,Elite,7.0,7.0333,3000000.0,tt7134908
2023-10-22,TV (Non-English),7,Doona!,1.0,7.0,2800000.0,tt24245988
2023-10-22,TV (Non-English),8,Stranded with my Mother-in-Law,1.0,7.0333,1600000.0,tt27494436
2023-10-22,TV (Non-English),9,Kaala Paani,1.0,7.25,1600000.0,tt19072562
2023-10-22,TV (Non-English),10,Creature,1.0,6.2167,1400000.0,tt0156205
2023-10-15,Films (English),1,Reptile,,2.2667,14200000.0,tt13274016
2023-10-15,Films (English),2,Fair Play,,1.9167,14000000.0,tt16304446
2023-10-15,Films (English),3,Gemini Man,,1.95,5300000.0,tt1025100
2023-10-15,Films (English),4,American Made,,1.9167,4900000.0,tt3532216
2023-10-15,Films (English),5,Mean Girls,,1.6167,3900000.0,tt0377092
2023-10-15,Films (English),6,Ma,,1.65,3500000.0,tt7958736
2023-10-15,Films (English),7,Casper,,1.6667,3200000.0,tt0112642
2023-10-15,Films (English),8,Tyson's Run,,1.7167,3100000.0,tt3580748
2023-10-15,Films (English),9,The Lost City,,1.8667,3100000.0,tt13320622
2023-10-15,Films (English),10,Get Out,,1.7333,3100000.0,tt5052448
2023-10-15,Films (Non-English),1,Ballerina,,1.5667,14700000.0,tt0048979
2023-10-15,Films (Non-English),2,Nowhere,,1.8167,13200000.0,tt15789472
2023-10-15,Films (Non-English),3,The Conference,,1.6667,7600000.0,tt26547864
2023-10-15,Films (Non-English),4,Forgotten Love,,2.3333,6800000.0,tt26596953
2023-10-15,Films (Non-English),5,OMG 2,,2.5833,4500000.0,tt15732324
2023-10-15,Films (Non-English),6,Khufiya,,2.65,3300000.0,tt15433600
2023-10-15,Films (Non-English),7,A Deadly Invitation,,1.55,2600000.0,tt13022120
2023-10-15,Films (Non-English),9,Overhaul,,1.6667,1700000.0,tt16427938
2023-10-15,Films (Non-English),10,Keys to the Heart,,1.7167,1600000.0,tt29025883
2023-10-15,TV (English),1,Beckham,1.0,4.75,11600000.0,tt14524712
2023-10-15,TV (English),2,The Fall of the House of Usher,1.0,8.2833,6300000.0,tt15567174
2023-10-15,TV (English),3,Sex Education,4.0,8.1,4000000.0,tt7767422
2023-10-15,TV (English),4,Big Vape: The Rise and Fall of Juul,1.0,3.15,3100000.0,tt14081634
2023-10-15,TV (English),5,Love Is Blind,5.0,0.0,2600000.0,tt6269952
2023-10-15,TV (English),6,ONE PIECE,1.0,7.5667,1900000.0,tt11737520
2023-10-15,TV (English),7,CoComelon,8.0,1.0667,1400000.0,tt12427840
2023-10-15,TV (English),8,Virgin River,5.0,7.65,1400000.0,tt9077530
2023-10-15,TV (English),9,Everything Now,1.0,6.2167,1300000.0,tt16287480
2023-10-15,TV (English),10,The Great British Baking Show,11.0,3.35,1300000.0,tt1877368
2023-10-15,TV (Non-English),1,Lupin,3.0,5.5167,14100000.0,tt1018841
2023-10-15,TV (Non-English),2,Lupin,1.0,3.9833,4700000.0,tt1018841
2023-10-15,TV (Non-English),3,Strong Girl Nam-soon,1.0,0.0,4400000.0,tt29225198
2023-10-15,TV (Non-English),4,Lupin,2.0,3.7833,4300000.0,tt1018841
2023-10-15,TV (Non-English),5,Pact of Silence,1.0,12.0333,3600000.0,tt29195231
