country_name,country_iso2,week,category,weekly_rank,show_title,season_title,imdb_tconst
Argentina,AR,2021-08-29,Films,9,Vivo,,tt14366176
Argentina,AR,2021-08-29,TV,9,Okupas,1.0,tt0289649
Argentina,AR,2021-08-29,Films,10,Hotel Transylvania 3: Summer Vacation,,tt5220122
Argentina,AR,2021-08-29,TV,10,AlRawabi School for Girls,1.0,tt10183912
Argentina,AR,2021-09-05,Films,1,SAS: Rise of the Black Swan,,tt4479380
Argentina,AR,2021-09-05,TV,1,Money Heist,5.0,tt6468322
Argentina,AR,2021-09-05,Films,2,He's All That,,tt4590256
Argentina,AR,2021-09-05,TV,2,Clickbait,1.0,tt33909895
Argentina,AR,2021-09-05,Films,3,Afterlife of the Party,,tt9369392
Argentina,AR,2021-09-05,TV,3,The Kingdom,1.0,tt37150947
Argentina,AR,2021-09-05,Films,4,Invasion,,tt8128590
Argentina,AR,2021-09-05,TV,4,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-09-05,Films,5,Worth,,tt4093110
Argentina,AR,2021-09-05,TV,5,The 100,7.0,tt2661044
Argentina,AR,2021-09-05,Films,6,Sweet Girl,,tt10731768
Argentina,AR,2021-09-05,TV,6,Good Girls,4.0,tt27897191
Argentina,AR,2021-09-05,Films,7,The Secret Life of Pets,,tt2709768
Argentina,AR,2021-09-05,TV,7,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-09-05,Films,8,Vivo,,tt14366176
Argentina,AR,2021-09-05,TV,8,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-09-05,Films,9,Gone Girl,,tt2267998
Argentina,AR,2021-09-05,TV,9,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-09-05,Films,10,Blood and Money,,tt9248110
Argentina,AR,2021-09-12,Films,1,Alpha,,tt33995188
Argentina,AR,2021-09-12,TV,1,Money Heist,5.0,tt6468322
Argentina,AR,2021-09-12,Films,2,Kate,,tt34625555
Argentina,AR,2021-09-12,TV,2,Clickbait,1.0,tt33909895
Argentina,AR,2021-09-12,Films,3,Worth,,tt4093110
Argentina,AR,2021-09-12,TV,3,Lucifer,6.0,tt4052886
Argentina,AR,2021-09-12,Films,4,Prey,,tt9237348
Argentina,AR,2021-09-12,TV,4,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-09-12,Films,5,Afterlife of the Party,,tt9369392
Argentina,AR,2021-09-12,TV,5,The Kingdom,1.0,tt37150947
Argentina,AR,2021-09-12,Films,6,Slender Man,,tt5690360
Argentina,AR,2021-09-12,TV,6,The 100,7.0,tt2661044
Argentina,AR,2021-09-12,Films,7,Non-Stop,,tt2024469
Argentina,AR,2021-09-12,TV,7,Good Girls,4.0,tt27897191
Argentina,AR,2021-09-12,Films,8,The Equalizer 2,,tt3766354
Argentina,AR,2021-09-12,TV,8,Money Heist,1.0,tt6468322
Argentina,AR,2021-09-12,Films,9,Lassie Come Home,,tt10384944
Argentina,AR,2021-09-12,TV,9,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-09-12,Films,10,He's All That,,tt4590256
Argentina,AR,2021-09-12,TV,10,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-09-19,Films,1,The Marksman,,tt6902332
Argentina,AR,2021-09-19,TV,1,Sex Education,3.0,tt7767422
Argentina,AR,2021-09-19,Films,2,The Equalizer 2,,tt3766354
Argentina,AR,2021-09-19,TV,2,Lucifer,6.0,tt4052886
Argentina,AR,2021-09-19,Films,3,The Father Who Moves Mountains,,tt8886670
Argentina,AR,2021-09-19,TV,3,Money Heist,5.0,tt6468322
Argentina,AR,2021-09-19,Films,4,First Kill,,tt5884234
Argentina,AR,2021-09-19,TV,4,Clickbait,1.0,tt33909895
Argentina,AR,2021-09-19,Films,5,Kate,,tt34625555
Argentina,AR,2021-09-19,TV,5,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-09-19,Films,6,Man on Fire,,tt0328107
Argentina,AR,2021-09-19,TV,6,Squid Game,1.0,tt10919420
Argentina,AR,2021-09-19,Films,7,The Stronghold,,tt15001026
Argentina,AR,2021-09-19,TV,7,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-09-19,Films,8,Prey,,tt9237348
Argentina,AR,2021-09-19,TV,8,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-09-19,TV,9,The Kingdom,1.0,tt37150947
Argentina,AR,2021-09-19,Films,10,Schumacher,,tt10322274
Argentina,AR,2021-09-26,Films,1,Intrusion,,tt12362822
Argentina,AR,2021-09-26,TV,1,Squid Game,1.0,tt10919420
Argentina,AR,2021-09-26,Films,2,The Marksman,,tt6902332
Argentina,AR,2021-09-26,TV,2,Sex Education,3.0,tt7767422
Argentina,AR,2021-09-26,Films,3,The Father Who Moves Mountains,,tt8886670
