,week,country,category,at_rank1,cumulative_weeks_in_top_10_1,at_rank2,cumulative_weeks_in_top_10_2,at_rank3,cumulative_weeks_in_top_10_3,at_rank4,cumulative_weeks_in_top_10_4,at_rank5,cumulative_weeks_in_top_10_5,at_rank6,cumulative_weeks_in_top_10_6,at_rank7,cumulative_weeks_in_top_10_7,at_rank8,cumulative_weeks_in_top_10_8,at_rank9,cumulative_weeks_in_top_10_9,at_rank10,cumulative_weeks_in_top_10_10
2021-07-04_Japan_Films,2021-07-04,Japan,Films,tt8850222,1,tt6723592,1,tt13105340,1,tt8943716,1,tt5430018,1,tt4172430,1,tt10308634,1,tt28021439,1,tt14781176,1,tt32322281,1
2021-07-04_Japan_TV,2021-07-04,Japan,TV,tt10477528,1,tt19845542,1,tt13433812,1,tt13196080,1,tt10477528,1,tt13676344,1,tt10850932,1,tt14518284,1,tt13814840,1,tt11239552,1
2021-07-04_Jordan_Films,2021-07-04,Jordan,Films,tt32322281,1,tt5562070,1,tt0903624,1,tt2674426,1,tt0080453,1,tt0369735,1,tt2199571,1,tt10525672,1,tt30835407,1,tt1170358,1
2021-07-04_Jordan_TV,2021-07-04,Jordan,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt4052886,1,tt32270287,1,tt32270287,1,tt32270287,1,tt32270287,1,tt3909224,1
2021-07-04_Kenya_Films,2021-07-04,Kenya,Films,tt1477834,1,tt2140479,1,,,tt32322281,1,tt24950698,1,tt13292336,1,tt2674426,1,tt0369339,1,tt5177088,1,tt8231668,1
2021-07-04_Kenya_TV,2021-07-04,Kenya,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt2531336,1,tt12004280,1,tt12564616,1,tt4052886,1,tt3909224,1,tt12809988,1,tt14691382,1
2021-07-04_Kuwait_Films,2021-07-04,Kuwait,Films,tt32322281,1,tt0903624,1,tt2199571,1,tt11027830,1,tt10525672,1,tt5562070,1,tt1170358,1,tt0080453,1,,,tt2310332,1
2021-07-04_Kuwait_TV,2021-07-04,Kuwait,TV,tt10839422,1,tt12004280,1,tt2531336,1,tt7134908,1,tt2306299,1,tt12809988,1,tt3909224,1,tt14033496,1,tt4320258,1,tt14936146,1
2021-07-04_Latvia_Films,2021-07-04,Latvia,Films,tt32322281,1,tt1469304,1,tt5562070,1,tt0903624,1,tt8231668,1,tt2674426,1,tt7975244,1,tt0803096,1,,,tt3118534,1
2021-07-04_Latvia_TV,2021-07-04,Latvia,TV,tt12004280,1,tt10839422,1,tt7817340,1,tt7134908,1,tt4052886,1,tt2861424,1,tt2531336,1,tt12004280,1,tt3909224,1,tt7134908,1
2021-07-04_Lebanon_Films,2021-07-04,Lebanon,Films,tt32322281,1,tt2674426,1,tt0369735,1,tt5562070,1,tt0903624,1,tt10525672,1,tt8231668,1,tt0080453,1,tt7547410,1,tt2199571,1
2021-07-04_Lebanon_TV,2021-07-04,Lebanon,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt4052886,1,tt2306299,1,tt3909224,1,tt32270287,1,tt32270287,1,tt14033496,1
2021-07-04_Lithuania_Films,2021-07-04,Lithuania,Films,tt32322281,1,tt5562070,1,tt0903624,1,tt8231668,1,tt2674426,1,tt1469304,1,tt0803096,1,tt9387250,1,,,tt7975244,1
2021-07-04_Lithuania_TV,2021-07-04,Lithuania,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt7817340,1,tt2861424,1,tt2531336,1,tt12004280,1,tt4052886,1,tt3909224,1,tt2861424,1
