country_name,country_iso2,week,category,weekly_rank,season_title,imdb_tconst
Argentina,AR,2023-10-08,Films,5,,tt16304446
Argentina,AR,2023-10-08,Films,6,,tt3580748
Argentina,AR,2023-10-08,Films,7,,tt2850386
Argentina,AR,2023-10-08,Films,8,,tt16427938
Argentina,AR,2023-10-08,Films,10,,tt26350277
Argentina,AR,2023-10-08,TV,1,3.0,tt2531336
Argentina,AR,2023-10-08,TV,3,1.0,tt20863760
Argentina,AR,2023-10-08,TV,4,1.0,tt2531336
Argentina,AR,2023-10-08,TV,5,1.0,tt14524712
Argentina,AR,2023-10-08,TV,6,1.0,tt22073352
Argentina,AR,2023-10-08,TV,7,1.0,tt28544336
Argentina,AR,2023-10-08,TV,8,2.0,tt2531336
Argentina,AR,2023-10-01,Films,1,,tt26596953
Argentina,AR,2023-10-01,Films,2,,tt15789472
Argentina,AR,2023-10-01,Films,3,,tt2850386
Argentina,AR,2023-10-01,Films,4,,tt24083908
Argentina,AR,2023-10-01,Films,5,,tt13274016
Argentina,AR,2023-10-01,Films,6,,tt16427938
Argentina,AR,2023-10-01,Films,7,,tt28073548
Argentina,AR,2023-10-01,Films,8,,tt12648266
Argentina,AR,2023-10-01,Films,9,,tt2183014
Argentina,AR,2023-10-01,Films,10,,tt15748830
Argentina,AR,2023-10-01,TV,2,1.0,tt20863760
Argentina,AR,2023-10-01,TV,3,1.0,tt22073352
Argentina,AR,2023-10-01,TV,4,,tt38516913
Argentina,AR,2023-10-01,TV,6,1.0,tt27787857
Argentina,AR,2023-10-01,TV,7,1.0,tt28544336
Argentina,AR,2023-10-01,TV,8,1.0,tt28692332
Argentina,AR,2023-09-24,Films,1,,tt11686490
Argentina,AR,2023-09-24,Films,2,,tt2183014
Argentina,AR,2023-09-24,Films,3,,tt2850386
Argentina,AR,2023-09-24,Films,4,,tt19724192
Argentina,AR,2023-09-24,Films,5,,tt24083908
Argentina,AR,2023-09-24,Films,7,,tt9620292
Argentina,AR,2023-09-24,Films,8,,tt12648266
Argentina,AR,2023-09-24,Films,9,,tt15748830
Argentina,AR,2023-09-24,Films,10,,tt7638348
Argentina,AR,2023-09-24,TV,2,1.0,tt20863760
Argentina,AR,2023-09-24,TV,3,1.0,tt22073352
Argentina,AR,2023-09-24,TV,4,1.0,tt27787857
Argentina,AR,2023-09-24,TV,5,,tt38516913
Argentina,AR,2023-09-24,TV,8,1.0,tt11737520
Argentina,AR,2023-09-24,TV,9,2.0,tt13925166
Argentina,AR,2023-09-24,TV,10,1.0,tt28544336
