week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-11-05,TV (Non-English),9,Castaway Diva,Castaway Diva: Limited Series,4.8333,1600000.0,tt28348835
2023-11-05,TV (Non-English),10,Lupin,Lupin: Part 1,3.9833,1500000.0,tt2531336
2023-10-29,Films (English),1,Old Dads,,1.7333,16300000.0,tt18394190
2023-10-29,Films (English),2,Pain Hustlers,,2.0833,14100000.0,tt15257160
2023-10-29,Films (English),3,No Hard Feelings,,1.7333,13100000.0,tt15671028
2023-10-29,Films (English),4,Cold Pursuit,,1.9667,6700000.0,tt5719748
2023-10-29,Films (English),5,Alvin and the Chipmunks: Chipwrecked,,1.45,3900000.0,tt1615918
2023-10-29,Films (English),7,Reptile,,2.2667,3500000.0,tt13274016
2023-10-29,Films (English),8,Minions,,1.5167,3000000.0,tt2293640
2023-10-29,Films (English),9,Hotel Transylvania 2,,1.5,2800000.0,tt2510894
2023-10-29,Films (English),10,Alvin and the Chipmunks: The Squeakquel,,1.4833,2600000.0,tt1231580
2023-10-29,Films (Non-English),1,Burning Betrayal,,1.65,14700000.0,tt26787296
2023-10-29,Films (Non-English),2,Sister Death,,1.5167,6200000.0,tt19175696
2023-10-29,Films (Non-English),3,The Quake,,1.7167,3600000.0,tt6523720
2023-10-29,Films (Non-English),4,Dream Girl 2,,2.1167,3000000.0,tt22086334
2023-10-29,Films (Non-English),5,Heaven in Hell,,2.0,2900000.0,tt21249656
2023-10-29,Films (Non-English),6,The Burning Sea,,1.7667,2800000.0,tt12753120
2023-10-29,Films (Non-English),7,Nowhere,,1.8167,2500000.0,tt15789472
2023-10-29,Films (Non-English),8,Crypto Boy,,1.7167,2200000.0,tt24785544
2023-10-29,Films (Non-English),9,Forgotten Love,,2.3333,2100000.0,tt26596953
2023-10-29,Films (Non-English),10,Ballerina,,1.5667,2000000.0,tt2261287
2023-10-29,TV (English),1,Bodies,Bodies: Limited Series,7.6333,7700000.0,tt18347622
2023-10-29,TV (English),2,Get Gotti,Get Gotti: Season 1,2.5333,7300000.0,tt29333646
2023-10-29,TV (English),3,Life on Our Planet,Life on Our Planet: Season 1,6.9333,5500000.0,tt23181388
2023-10-29,TV (English),4,The Fall of the House of Usher,The Fall of the House of Usher: Limited Series,8.2833,4200000.0,tt15567174
2023-10-29,TV (English),5,Beckham,Beckham: Limited Series,4.75,4000000.0,tt14524712
2023-10-29,TV (English),6,Big Mouth,Big Mouth: Season 7,4.65,2700000.0,tt6524350
2023-10-29,TV (English),7,I Woke Up A Vampire,I Woke Up A Vampire: Season 1,3.5167,2400000.0,tt27591984
2023-10-29,TV (English),8,Sex Education,Sex Education: Season 4,8.1,1700000.0,tt7767422
2023-10-29,TV (English),9,Surviving Paradise,Surviving Paradise: Season 1,6.65,1300000.0,tt27849953
2023-10-29,TV (English),10,CoComelon,CoComelon: Season 8,1.0667,1300000.0,tt12427840
2023-10-29,TV (Non-English),1,Elite,Elite: Season 7,7.0333,5300000.0,tt7134908
2023-10-29,TV (Non-English),2,Lupin,Lupin: Part 3,5.5167,4700000.0,tt2531336
2023-10-29,TV (Non-English),3,Doona!,Doona!: Season 1,7.0,4500000.0,tt24245988
2023-10-29,TV (Non-English),4,Pact of Silence,Pact of Silence: Season 1,12.0333,3800000.0,tt29195231
2023-10-29,TV (Non-English),5,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,0.0,2700000.0,tt29225198
