week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,imdb_tconst
2023-11-26,Films (English),4,See You on Venus,,11300000,1.5833,7100000.0,2,False,tt14960612
2023-11-26,Films (English),5,Jules,,6700000,1.45,4600000.0,1,False,tt15428940
2023-11-26,Films (English),6,Triple Frontier,,7500000,2.1,3600000.0,1,False,tt1488606
2023-11-26,Films (English),7,The Christmas Chronicles,,5900000,1.75,3400000.0,6,False,tt2990140
2023-11-26,Films (English),9,Lone Survivor,,5500000,2.0167,2700000.0,2,False,tt1091191
2023-11-26,Films (English),10,Falling for Christmas,,4300000,1.5833,2700000.0,7,False,tt14715170
2023-11-26,Films (Non-English),1,Last Call for Istanbul,,16300000,1.5167,10700000.0,1,False,tt23334616
2023-11-26,Films (Non-English),2,Believer 2,,12300000,1.9333,6400000.0,2,False,tt26258204
2023-11-26,Films (Non-English),3,All-Time High,,8700000,1.7167,5100000.0,2,False,tt27921620
2023-11-26,Films (Non-English),4,Crime Diaries: The Celebrity Stylist,,5000000,1.1833,4200000.0,1,False,tt29692772
2023-11-26,Films (Non-English),5,Sukhee,,5300000,2.3,2300000.0,1,False,tt18266472
2023-11-26,Films (Non-English),7,Wingwomen,,3600000,1.9333,1900000.0,4,False,tt21638298
2023-11-26,Films (Non-English),9,Elena Knows,,2700000,1.6833,1600000.0,1,False,tt28081899
2023-11-26,Films (Non-English),10,The Queenstown Kings,,3600000,2.2833,1600000.0,1,False,tt21448346
2023-11-26,TV (English),1,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,85700000,4.2667,20100000.0,1,False,tt28104766
2023-11-26,TV (English),2,The Crown,The Crown: Season 6,29300000,3.3167,8800000.0,2,False,tt4786824
2023-11-26,TV (English),3,CoComelon Lane,CoComelon Lane: Season 1,13200000,3.9167,3400000.0,1,False,tt15040002
2023-11-26,TV (English),4,All the Light We Cannot See,All the Light We Cannot See: Limited Series,12600000,3.8333,3300000.0,4,False,tt15320362
2023-11-26,TV (English),6,Young Sheldon,Young Sheldon: Season 1,15000000,7.2167,2100000.0,1,False,tt6226232
2023-11-26,TV (English),7,Scott Pilgrim Takes Off,Scott Pilgrim Takes Off: Season 1,7400000,3.6833,2000000.0,1,False,tt16969708
2023-11-26,TV (English),8,First Wives Club,First Wives Club: Season 1,6600000,3.9833,1700000.0,1,False,tt7546362
2023-11-26,TV (English),9,Escaping Twin Flames,Escaping Twin Flames: Season 1,4800000,2.9167,1600000.0,3,False,tt29388212
2023-11-26,TV (Non-English),1,A Nearly Normal Family,A Nearly Normal Family: Limited Series,29000000,4.5333,6400000.0,1,False,tt22780536
2023-11-26,TV (Non-English),2,Criminal Code,Criminal Code: Season 1,41000000,7.7667,5300000.0,2,False,tt22459586
2023-11-26,TV (Non-English),4,My Demon,My Demon: Season 1,6700000,2.2,3000000.0,1,False,tt29569035
2023-11-26,TV (Non-English),5,Nothing to See Here,Nothing to See Here: Season 1,8100000,3.3833,2400000.0,1,False,tt27787856
2023-11-26,TV (Non-English),6,Squid Game,Squid Game: Season 1,13300000,8.3167,1600000.0,21,False,tt10919420
2023-11-26,TV (Non-English),7,Castaway Diva,Castaway Diva: Limited Series,16700000,0.0,1600000.0,4,True,tt28348835
2023-11-26,TV (Non-English),8,Strong Girl Nam-soon,Strong Girl Nam-soon: Limited Series,24500000,0.0,1500000.0,8,True,tt29225198
2023-11-26,TV (Non-English),9,Holy Family,Holy Family: Season 2,7300000,5.3833,1400000.0,1,False,tt15576994
2023-11-26,TV (Non-English),10,Suburræterna,Suburræterna: Season 1,7400000,6.0333,1200000.0,2,False,tt28019928
2023-11-19,Films (English),1,The Killer,,44500000,2.0,22300000.0,2,False,tt1136617
2023-11-19,Films (English),2,Best. Christmas. Ever!,,22300000,1.3667,16300000.0,1,False,tt7038762
2023-11-19,Films (English),3,Monster Hunter,,10500000,1.7167,6100000.0,1,False,tt6475714
2023-11-19,Films (English),4,Locked In,,8200000,1.6167,5100000.0,3,False,tt24870072
