tconst	averageRating	numVotes
tt0026784	6.4	350
tt0026912	6.8	7234
tt0026983	6.4	2181
tt0027057	4.3	148
tt0027089	7.3	1731
tt0027099	5.8	444
tt0027140	6.7	127
tt0027252	5.7	74
tt0027270	6.3	149
tt0027401	7.0	327
tt0027478	7.2	4037
tt0027564	6.0	136
tt0027602	5.4	14
tt0027626	6.7	20
tt0027652	7.8	14699
tt0027703	6.6	42
tt0027718	5.0	89
tt0027742	5.6	165
tt0027832	4.7	23
tt0027869	6.6	1892
tt0027898	6.4	179
tt0027906	6.0	262
tt0028034	6.1	40
tt0028037	7.3	32
tt0028079	6.2	60
tt0028089	6.9	66
tt0028203	6.5	2406
tt0028212	7.0	20445
tt0028214	6.7	113
tt0028315	7.1	1595
tt0028331	5.8	1698
tt0028358	6.6	10024
tt0028364	5.7	28
tt0028380	6.2	158
tt0028391	6.1	88
tt0028478	6.6	3591
tt0028528	6.2	40
tt0028722	5.3	24
tt0028737	7.3	1369
tt0028773	7.2	9522
tt0028789	5.5	171
tt0028835	6.7	222
tt0028850	6.7	869
tt0028858	5.7	12
tt0028874	6.2	522
tt0028927	5.9	105
tt0028983	7.1	83
tt0028988	7.2	5357
tt0029030	7.1	3351
tt0029054	6.1	65
tt0029178	7.0	47
tt0029250	6.3	44
tt0029270	5.5	13
tt0029291	6.8	281
tt0029368	7.0	8
tt0029546	7.4	8337
tt0029606	7.3	11794
tt0029711	6.0	20
tt0029860	5.5	30
tt0029924	5.6	691
tt0029939	5.8	123
tt0029992	7.5	9968
tt0030083	6.0	36
tt0030169	6.3	197
tt0030221	4.8	49
tt0030346	6.2	39
tt0030382	6.6	315
tt0030418	7.3	3546
tt0030503	6.3	533
tt0030528	5.7	120
tt0030622	5.5	29
tt0030625	6.1	353
tt0030643	7.7	10804
tt0030817	6.2	792
tt0030879	6.6	1781
tt0031039	5.9	77
tt0031311	7.0	850
tt0031334	7.4	7042
tt0031394	6.5	786
tt0031397	6.6	5347
tt0031412	6.5	470
tt0031499	6.5	64
tt0031590	5.9	96
tt0031647	7.8	6367
tt0031736	5.9	203
tt0031863	6.2	252
tt0031887	5.7	86
tt0031950	6.6	343
tt0032028	5.9	727
tt0032063	7.2	116
tt0032143	7.7	16000
tt0032275	6.6	9
tt0032356	6.9	1515
tt0032447	7.0	1304
tt0032536	6.8	6090
tt0032595	6.6	95
tt0032605	6.4	147
tt0032884	5.8	59
tt0032896	6.4	60
tt0032910	7.5	171358
tt0033088	5.4	223
tt0033196	5.6	161
tt0033214	5.7	424
tt0033482	6.9	92
tt0033563	7.2	150605
tt0033751	7.3	23
tt0033761	6.4	71
tt0033811	7.3	112
tt0033910	6.4	585
tt0033922	6.3	12172
tt0034073	7.0	36
tt0034242	5.6	1137
tt0034340	6.4	348
tt0034364	7.0	133
tt0034435	6.4	135
tt0034581	6.0	76
tt0034622	6.7	1977
tt0034636	6.0	522
tt0034639	6.1	660
tt0034694	7.2	3380
tt0034928	6.7	5009
tt0035075	6.4	220
tt0035160	7.5	8978
tt0035240	7.3	99
tt0035423	6.4	93476
tt0035429	7.5	4781
tt0035532	5.9	103
tt0035605	6.5	2695
tt0035714	5.5	242
tt0035733	7.4	1037
tt0035752	6.6	221
tt0035753	7.8	11814
tt0035800	6.3	1404
tt0035912	7.1	112
tt0036098	7.1	6370
tt0036236	6.4	123
tt0036323	7.5	10852
tt0036385	7.5	100
tt0036443	6.1	2025
tt0036473	6.1	207
tt0036513	5.9	129
tt0036544	6.6	80
tt0036577	7.3	202
tt0036654	5.7	33
tt0036656	7.8	1623
tt0036720	5.7	110
tt0036744	5.5	233
tt0036745	6.5	1211
tt0036748	6.1	1549
tt0036790	5.9	91
tt0036969	7.4	10263
tt0037369	7.3	17
tt0037389	5.9	84
tt0037415	7.2	13454
tt0037426	5.9	295
tt0037465	6.3	1850
tt0037537	7.2	175
tt0037539	5.6	758
tt0037638	7.3	21787
tt0037739	6.7	215
tt0037788	5.7	46
tt0037980	7.1	1720
tt0038109	7.5	56186
tt0038314	5.3	78
tt0038348	7.9	29755
tt0038363	7.0	9121
tt0038461	7.1	4595
tt0038474	6.6	1127
tt0038524	5.7	713
tt0038532	6.1	159
tt0038546	5.9	59
tt0038567	6.7	65
tt0038612	5.4	59
tt0038643	5.7	242
tt0038673	5.0	129
tt0038675	6.4	3861
tt0038687	7.4	2163
tt0038712	6.9	14
tt0038778	5.3	191
tt0038787	7.9	113280
tt0038824	7.9	2883
tt0038991	7.3	30612
tt0039072	5.5	57
tt0039220	7.3	7550
tt0039288	6.6	2220
tt0039293	6.2	741
tt0039383	7.0	3108
tt0039399	7.5	562
tt0039406	6.7	156
tt0039410	6.5	1403
tt0039439	6.2	897
tt0039472	5.8	529
tt0039500	6.5	913
tt0039562	5.5	36
tt0039615	7.0	1277
tt0039629	6.9	193
tt0039661	7.7	14425
tt0039725	7.1	6343
tt0039808	6.9	7505
tt0039925	6.6	93
tt0039981	6.5	165
tt0040092	6.9	2169
tt0040098	6.6	3161
tt0040178	6.5	1353
tt0040309	6.1	227
tt0040325	6.5	477
tt0040335	7.3	1060
tt0040407	6.8	507
tt0040455	6.5	752
tt0040479	4.7	105
tt0040481	7.1	2684
tt0040558	7.4	8404
tt0040610	5.7	139
tt0040662	7.8	14813
tt0040717	6.5	326
tt0040876	7.1	7594
tt0040897	8.2	140654
tt0041037	7.0	234
tt0041038	7.7	3229
tt0041039	8.3	202
tt0041084	6.7	1237
tt0041113	7.4	18011
tt0041117	6.5	931
tt0041190	6.3	706
tt0041239	7.3	5265
tt0041397	5.5	30
