week,at_rank1,views_at_rank1,at_rank2,views_at_rank2,at_rank3,views_at_rank3,at_rank4,views_at_rank4,at_rank5,views_at_rank5,at_rank6,views_at_rank6,at_rank7,views_at_rank7,at_rank8,views_at_rank8,at_rank9,views_at_rank9,at_rank10,views_at_rank10
2023-11-12,tt15320362,"[38700000.0, 10100000.0, 2.0]",tt9817298,"[30000000.0, 4700000.0, 2.0]",tt29388212,"[11900000.0, 4100000.0, 1.0]",tt28210840,"[13100000.0, 3900000.0, 1.0]",tt27423738,"[15300000.0, 3300000.0, 2.0]",tt13309742,"[18100000.0, 2900000.0, 1.0]",tt28466971,"[9000000.0, 2800000.0, 2.0]",tt23181388,"[18800000.0, 2700000.0, 3.0]",tt18347622,"[19600000.0, 2600000.0, 4.0]",tt14524712,"[8000000.0, 1700000.0, 6.0]"
2023-11-12,tt15473010,"[22400000.0, 4400000.0, 2.0]",,,tt28466970,"[18700000.0, 3100000.0, 2.0]",tt26258202,"[36400000.0, 2800000.0, 1.0]",tt1018841,"[11100000.0, 2000000.0, 6.0]",tt28348835,"[10700000.0, 1900000.0, 2.0]",tt29225198,"[22900000.0, 1900000.0, 6.0]",tt29195231,"[22000000.0, 1800000.0, 5.0]",tt2560140,"[4700000.0, 1700000.0, 1.0]",tt21279114,"[8600000.0, 1600000.0, 1.0]"
2023-11-05,tt24870072,"[28800000.0, 17800000.0, 1.0]",tt15257160,"[31700000.0, 15200000.0, 2.0]",tt5719748,"[17300000.0, 8800000.0, 2.0]",tt9362722,"[20100000.0, 8600000.0, 1.0]",tt18394190,"[8700000.0, 5000000.0, 3.0]",tt5302918,"[9500000.0, 4700000.0, 1.0]",tt28254460,"[7500000.0, 4700000.0, 1.0]",,,tt2293640,"[6600000.0, 4400000.0, 2.0]",tt9902160,"[6700000.0, 4100000.0, 1.0]"
2023-11-05,tt21638298,"[35700000.0, 18500000.0, 1.0]",tt26787296,"[10700000.0, 6500000.0, 2.0]",tt19175696,"[9300000.0, 6100000.0, 2.0]",,,tt15789472,"[3600000.0, 2000000.0, 6.0]",tt26596953,"[3900000.0, 1700000.0, 6.0]",tt13022120,"[2200000.0, 1400000.0, 4.0]",tt12519030,"[2000000.0, 1300000.0, 1.0]",tt13822738,"[2600000.0, 1300000.0, 8.0]",tt0048979,"[2000000.0, 1300000.0, 5.0]"
2023-11-05,tt15320362,"[37600000.0, 9800000.0, 1.0]",tt28466971,"[15200000.0, 4700000.0, 1.0]",tt18347622,"[33200000.0, 4300000.0, 3.0]",tt23181388,"[29500000.0, 4300000.0, 2.0]",tt27423738,"[15100000.0, 3300000.0, 1.0]",tt29333646,"[8000000.0, 3200000.0, 2.0]",tt15567174,"[23400000.0, 2800000.0, 4.0]",tt9817298,"[18100000.0, 2800000.0, 1.0]",tt14524712,"[12600000.0, 2700000.0, 5.0]",tt29416049,"[6600000.0, 2300000.0, 1.0]"
2023-11-05,tt1018841,"[18100000.0, 3300000.0, 5.0]",tt29195231,"[33200000.0, 2800000.0, 4.0]",tt7134908,"[18000000.0, 2600000.0, 3.0]",tt29225198,"[23100000.0, 2300000.0, 5.0]",tt24245988,"[14400000.0, 2100000.0, 3.0]",tt15473010,"[10300000.0, 2000000.0, 1.0]",tt22301234,"[6800000.0, 1800000.0, 1.0]",tt28466970,"[10100000.0, 1700000.0, 1.0]",tt28348835,"[7700000.0, 1600000.0, 1.0]",tt1018841,"[5900000.0, 1500000.0, 5.0]"
2023-10-29,tt18394190,"[28200000.0, 16300000.0, 2.0]",tt15257160,"[29300000.0, 14100000.0, 1.0]",tt15671028,"[22700000.0, 13100000.0, 2.0]",tt5719748,"[13200000.0, 6700000.0, 1.0]",tt1615918,"[5700000.0, 3900000.0, 2.0]",,,tt13274016,"[7900000.0, 3500000.0, 5.0]",tt2293640,"[4500000.0, 3000000.0, 1.0]",tt2510894,"[4200000.0, 2800000.0, 4.0]",tt1231580,"[3900000.0, 2600000.0, 1.0]"
2023-10-29,tt26787296,"[24300000.0, 14700000.0, 1.0]",tt19175696,"[9400000.0, 6200000.0, 1.0]",tt6523720,"[6200000.0, 3600000.0, 2.0]",tt22086334,"[6300000.0, 3000000.0, 2.0]",tt21249656,"[5800000.0, 2900000.0, 2.0]",tt12753120,"[5000000.0, 2800000.0, 1.0]",tt15789472,"[4600000.0, 2500000.0, 5.0]",tt24785544,"[3700000.0, 2200000.0, 1.0]",tt26596953,"[4800000.0, 2100000.0, 5.0]",tt0048979,"[3100000.0, 2000000.0, 4.0]"
2023-10-29,tt18347622,"[58600000.0, 7700000.0, 2.0]",tt29333646,"[18400000.0, 7300000.0, 1.0]",tt23181388,"[38300000.0, 5500000.0, 1.0]",tt15567174,"[34500000.0, 4200000.0, 3.0]",tt14524712,"[18900000.0, 4000000.0, 4.0]",tt2340201,"[12500000.0, 2700000.0, 2.0]",tt27591984,"[8400000.0, 2400000.0, 2.0]",tt7767422,"[13800000.0, 1700000.0, 6.0]",tt27849953,"[8900000.0, 1300000.0, 1.0]",tt12427840,"[1400000.0, 1300000.0, 6.0]"
2023-10-29,tt7134908,"[37100000.0, 5300000.0, 2.0]",tt1018841,"[25800000.0, 4700000.0, 4.0]",tt24245988,"[31800000.0, 4500000.0, 2.0]",tt29195231,"[45500000.0, 3800000.0, 3.0]",tt29225198,"[21600000.0, 2700000.0, 4.0]",tt1018841,"[8100000.0, 2000000.0, 4.0]",tt1018841,"[7400000.0, 2000000.0, 8.0]",tt0156205,"[12100000.0, 1900000.0, 2.0]",tt19072562,"[11100000.0, 1500000.0, 2.0]",,
